Pasteurella_1	Pasteurella_2	Pasteurella_3	Pasteurella_4	Pasteurella_5	Pasteurella_6	Pasteurella_7	Pasteurella_8	Pasteurella_9	Pasteurella_10	Pasteurella_11	Pasteurella_12	Pasteurella_13	Pasteurella_14	Pasteurella_15	Pasteurella_16	Pasteurella_17	Pasteurella_18	Pasteurella_19	Pasteurella_20	Staphylococcus_1	Staphylococcus_2	Staphylococcus_3	Staphylococcus_4	Staphylococcus_5	Staphylococcus_6	Staphylococcus_7	Staphylococcus_8	Staphylococcus_9	Staphylococcus_10	Staphylococcus_11	Staphylococcus_12	Staphylococcus_13	Staphylococcus_14	Staphylococcus_15	Staphylococcus_16	Staphylococcus_17	Staphylococcus_18	Staphylococcus_19	Staphylococcus_20	Pseudomonas_1	Pseudomonas_2	Pseudomonas_3	Pseudomonas_4	Pseudomonas_5	Pseudomonas_6	Pseudomonas_7	Pseudomonas_8	Pseudomonas_9	Pseudomonas_10	Pseudomonas_11	Pseudomonas_12	Pseudomonas_13	Pseudomonas_14	Pseudomonas_15	Pseudomonas_16	Pseudomonas_17	Pseudomonas_18	Pseudomonas_19	Pseudomonas_20	taxonomy
25	0	0	0	58	0	0	116	45	0	0	60	16	11	47	203	1	26	53	2	50	1	2	20	7	0	0	167	934	0	79	2	26	25	77	6	23	0	2	40	10	12	2	6	60	1	8	203	20	0	0	6	5	88	0	2	6	41	0	20	30	unclassified|100_31
5977	0	241	0	60	22	0	2	1	19	53	126	50	19	0	15	1	0	5	2	20	5	5	121	1	88	1	79	121	43	2	19	104	32	2	1	20	2	1	194	25	5	6	8	26	934	5	5	0	113	12	0	32	22	1	2462	51	121	43	21	41	unclassified|74_32
4769	29	10	2462	934	203	5	1	30	26	0	0	0	0	5	0	2	0	11	7	26	0	50	2	116	2	29	0	7	60	104	50	0	126	126	50	25	5	77	934	60	21	0	43	16	1	10	0	0	2	50	39	25	40	40	47	10	25	5	58	79	Staphylococcus|74_33
26	53	124	25	2	5	32	934	0	194	1	2462	41	50	102	1	194	0	86	0	10	29	3	23	45	0	7	0	3	5	0	15	0	58	10	116	43	1	0	1	219	0	1	23	23	20	25	69	79	16	10	86	0	0	2	1	58	1	121	203	0	Gemella|100_34
5621	3	5	20	50	0	26	19	11	219	43	0	0	10	86	50	2	41	2462	1	113	113	102	79	1	12	79	29	2	11	69	1	21	50	16	0	2	25	8	79	51	0	0	1	25	0	12	0	20	60	39	50	126	2	0	934	69	39	3	22	23	unclassified|92_35
29	2	8	36	1	43	26	0	10	25	3	5	10	7	10	12	22	10	6	113	29	0	12	22	32	0	26	0	0	123	40	7	2	2	1	0	241	3	86	203	1	194	0	86	113	0	934	50	60	26	29	124	934	1	203	26	79	53	6	219	69	Gillisia|87_36
28	0	203	30	1	934	113	0	50	16	2	77	126	2	6	7	0	7	22	50	88	1	1	203	51	77	0	12	30	0	41	10	29	3	0	22	0	1	219	71	26	0	0	10	5	22	116	0	58	0	5	0	0	2	39	241	60	0	26	88	86	Corynebacterium|83_37
30	43	3	5	39	3	3	0	123	0	0	29	1	0	116	25	0	1	3	10	69	2	56	2	79	26	20	3	25	194	1	56	45	102	86	102	10	26	2462	0	0	40	10	32	194	0	104	30	203	69	2	5	0	19	20	41	3	20	0	0	0	Thermoanaerobacterium|100_38
27	934	20	77	2	8	60	5	0	1	1	58	79	10	36	2	2	241	10	102	0	69	11	0	126	194	50	7	0	0	102	0	1	934	1	47	22	0	47	1	0	50	11	1	2462	1	0	58	53	15	60	23	2	56	0	29	86	10	167	10	41	Bradyrhizobium|81_39
32	0	26	0	25	58	2	1	71	1	5	32	29	8	25	69	0	0	41	10	69	219	69	50	2	0	53	86	47	2	88	20	1	32	50	0	2	12	69	1	0	20	0	0	15	16	1	32	29	41	29	2	58	32	0	29	0	7	0	32	0	unclassified|73_40
35	79	40	0	79	12	6	5	53	40	0	1	29	20	23	0	58	934	219	0	16	6	194	6	69	5	11	20	3	29	124	5	30	50	11	2	41	219	11	58	6	1	219	5	0	69	39	126	3	25	203	1	5	5	124	10	36	45	124	53	5	Tolumonas|75_41
33	25	0	121	30	21	10	0	51	30	23	12	10	86	58	5	3	69	86	43	0	0	219	10	12	1	22	4	58	86	5	167	0	22	0	86	1	0	20	0	58	79	71	3	1	53	10	45	58	6	11	126	21	5	6	0	21	2	1	2	12	Prevotella|85_42
34	2	121	79	1	219	0	8	0	2	19	2	6	36	0	6	71	0	20	116	102	10	86	102	3	2	10	77	23	1	0	11	0	1	19	50	1	53	5	41	10	60	0	29	45	2	121	0	0	1	69	45	241	50	47	167	0	53	0	20	7	Pseudarcicella|98_43
4301	0	25	7	45	60	123	50	10	0	26	40	2	2	3	71	241	6	1	0	1	10	0	56	5	1	0	39	5	1	1	79	123	0	26	25	0	0	45	0	0	30	0	1	26	12	10	1	126	79	3	11	0	79	86	10	194	0	56	5	0	Geobacillus|100_44
37	104	0	0	203	0	77	0	116	71	58	20	39	1	241	2462	0	25	79	79	29	126	1	6	0	0	0	20	21	3	6	0	69	50	21	79	69	3	0	12	79	113	1	6	25	123	50	5	1	1	23	30	11	26	2	12	11	104	194	19	26	Flavobacterium|83_45
36	0	77	203	0	10	124	2462	0	167	77	39	21	104	30	0	32	1	3	6	6	51	5	1	5	20	934	0	22	6	0	2	0	1	45	11	21	5	29	8	1	102	60	58	39	5	11	116	113	29	4	71	5	123	10	39	77	1	0	121	71	Corynebacterium|94_46
869	79	69	0	77	15	23	20	219	2	0	10	53	56	20	86	6	203	0	0	15	39	203	79	69	10	58	56	41	79	29	58	4	26	113	2	0	0	23	126	0	50	1	5	104	36	41	39	219	47	0	47	12	20	167	4	0	0	15	50	56	unclassified|91_47
38	45	0	29	5	51	0	0	15	0	15	26	1	0	10	1	2	5	241	4	6	121	29	934	1	0	113	30	194	41	113	0	0	241	69	0	194	113	934	5	0	29	58	22	123	0	1	10	10	10	50	3	47	7	102	5	50	0	77	0	3	Delftia|100_48
6274	0	113	6	2	39	0	6	2	53	50	8	26	10	56	19	121	116	2	21	7	88	6	20	20	6	36	22	102	1	126	32	1	7	6	0	1	69	22	47	0	934	1	2	1	2	0	50	0	23	0	0	0	104	104	36	25	25	113	102	15	Flavobacterium|70_49
51	20	58	41	0	69	20	0	5	50	69	53	22	22	19	29	124	0	0	0	12	16	29	32	32	25	41	2	86	0	0	86	23	53	32	121	29	15	53	41	3	4	58	53	0	0	2	0	102	26	19	1	116	194	0	0	2	86	16	77	0	Anoxybacillus|84_50
39	26	0	1	47	2	2	26	41	4	126	50	124	1	29	50	26	47	123	15	1	123	0	0	0	5	2	0	10	71	0	0	88	88	50	86	26	116	1	113	5	1	5	69	0	167	26	1	2	51	50	1	30	41	12	0	2	36	0	1	1	unclassified|70_51
40	20	22	23	1	0	40	69	1	113	0	116	0	0	40	69	60	2	4	104	8	50	53	50	26	10	16	0	11	126	10	1	0	6	5	5	19	21	50	0	71	2	10	0	116	88	86	3	5	0	88	121	15	0	10	11	116	12	20	0	77	Acinetobacter|80_52
41	58	11	32	219	12	7	0	77	0	20	22	0	167	53	21	203	26	0	79	20	32	2462	58	25	53	15	26	2	50	20	934	15	0	2	2	5	0	0	167	45	123	2	12	19	26	32	41	2	0	79	104	71	0	5	0	241	0	8	2	10	Lactococcus|100_53
43	0	0	0	10	32	0	10	121	1	25	25	0	2	15	104	0	1	53	0	167	77	113	26	123	1	41	0	116	69	25	126	0	69	12	104	0	102	113	19	5	1	16	12	0	0	0	104	26	0	3	2462	0	124	1	8	39	41	60	1	58	Bhargavaea|79_54
6686	0	167	50	5	0	3	86	43	121	3	11	20	6	32	1	36	1	10	88	0	0	41	12	6	47	29	113	123	0	934	10	56	123	0	3	3	2	0	43	88	167	29	219	43	60	1	0	0	58	0	77	69	0	79	1	79	43	0	0	12	unclassified|77_55
42	30	219	1	3	123	69	167	934	5	7	10	1	116	6	123	113	0	26	50	1	0	0	77	0	1	8	10	126	50	2	1	10	21	1	32	20	26	1	1	50	241	12	241	32	10	0	4	5	0	0	19	20	1	7	0	6	2	934	113	194	Kineococcus|99_56
44	2	0	1	11	29	203	51	21	79	121	123	934	2	45	167	4	0	0	69	10	10	26	2	10	5	77	1	88	47	15	124	2	124	1	50	219	5	1	5	26	58	1	0	0	86	0	0	20	2	26	5	79	5	0	0	0	0	123	7	39	Rothia|100_57
50	102	1	1	124	0	3	32	39	104	10	69	32	60	3	0	25	21	77	86	0	0	4	10	12	2	2	6	0	124	26	50	5	2	29	71	0	39	39	88	30	86	20	71	20	6	45	0	39	50	2	25	19	15	36	113	113	47	79	69	20	Prevotella|95_58
46	3	2	12	7	0	1	126	58	79	5	0	77	3	5	56	0	113	0	8	5	41	5	0	0	0	51	88	3	77	23	69	3	77	124	26	0	0	36	121	934	11	43	5	219	2	0	56	53	0	10	10	0	0	21	2	126	5	10	0	1	Lactococcus|70_59
45	41	39	39	0	0	25	123	29	0	29	1	0	10	1	2	123	8	45	5	2	47	45	194	53	39	20	934	2462	53	60	8	116	0	0	41	0	69	41	116	23	0	32	1	0	32	20	47	2462	11	47	53	39	51	51	56	0	71	0	116	124	Lactobacillus|97_60
48	86	23	21	0	4	50	10	60	47	10	241	43	53	50	47	0	15	1	40	77	10	15	0	20	40	0	79	40	10	0	0	0	0	167	58	26	25	2	123	0	25	0	41	6	116	0	2	41	2	113	2	29	116	3	16	2	10	126	36	10	Yersinia|75_61
6214	12	51	10	113	47	10	29	0	3	0	0	47	1	5	934	0	0	2	241	2	241	10	0	0	2	58	5	0	6	1	69	60	0	1	30	0	1	4	86	69	2462	50	3	69	1	69	25	16	126	1	20	0	2	2462	58	15	3	69	2	113	unclassified|81_62
49	1	0	10	0	0	0	56	69	20	194	51	30	0	79	0	7	126	126	26	4	20	0	0	86	0	20	32	20	69	11	5	8	0	219	45	50	41	19	1	29	8	23	50	1	19	1	22	0	0	40	7	1	0	29	0	32	0	1	12	241	Peptostreptococcus|98_63
47	10	12	50	1	36	71	5	69	43	124	88	0	121	58	0	0	0	0	5	0	2	20	53	934	51	69	16	5	0	69	53	7	58	32	113	5	20	0	0	53	53	41	0	53	6	219	5	11	7	5	0	2	5	0	3	0	219	11	10	50	unclassified|78_64
52	16	41	26	0	26	0	69	36	0	50	1	194	3	219	4	20	6	19	41	50	1	1	1	0	26	10	2	0	23	29	121	10	167	0	12	10	43	124	10	32	0	126	39	0	3	3	23	79	0	30	2	26	3	219	12	2	0	104	86	16	Veillonella|99_65
54	0	5	47	20	53	25	25	50	41	5	86	123	25	43	194	5	20	102	77	0	0	1	86	88	203	26	0	53	0	0	43	77	25	25	2	0	16	26	124	0	3	47	121	1	4	21	2	8	2462	0	20	3	10	32	20	1	194	0	79	0	Propionibacterium|100_66
55	203	10	3	2462	0	2	53	19	203	1	45	58	5	0	5	2462	23	5	12	5	1	167	36	79	20	25	121	1	32	53	10	0	51	0	36	39	88	0	11	53	77	241	47	86	50	32	86	0	53	43	0	10	45	79	6	56	934	22	3	219	Ralstonia|95_67
60	123	0	0	102	50	22	104	1	10	41	21	10	0	0	20	53	3	71	25	3	1	0	29	20	121	50	0	39	934	116	32	43	16	5	32	86	0	32	0	0	41	30	10	10	0	194	0	6	6	0	69	0	10	10	0	12	23	36	0	21	Corynebacterium|82_68
56	19	53	71	0	16	12	15	126	2	71	20	41	5	12	0	1	3	32	203	30	0	2	0	40	21	4	123	0	0	3	0	167	36	0	0	3	0	5	56	69	0	56	0	2	12	0	124	15	56	0	22	1	0	241	2	5	29	1	8	47	Leuconostoc|99_69
6839	0	47	53	167	45	167	40	32	36	11	71	36	1	194	20	3	2462	69	1	116	0	20	0	39	50	10	241	1	10	10	50	20	3	0	10	12	0	0	1	3	0	102	1	5	203	0	2	0	1	53	0	10	10	56	0	1	1	10	1	1	unclassified|70_70
72	60	104	2	241	0	0	2	32	123	123	102	219	219	2	30	1	86	194	0	0	69	0	5	23	0	2	71	29	1	0	53	0	20	0	2462	0	86	121	15	6	2	26	123	41	0	20	51	36	116	167	60	86	241	45	1	25	1	20	6	10	unclassified|76_71
6159	1	41	0	10	6	2	53	2	58	1	0	79	23	69	5	23	43	58	3	0	3	41	0	167	116	194	26	0	45	53	2	0	79	3	10	1	32	203	2	2	0	5	32	4	26	71	43	194	40	21	12	104	12	58	71	7	15	0	40	60	unclassified|74_72
6719	50	32	194	6	167	58	86	104	69	219	219	20	12	3	6	12	22	3	39	53	58	0	104	60	45	3	60	32	26	203	45	1	39	241	88	0	0	102	51	41	7	3	11	0	5	6	2	123	29	126	0	41	0	12	26	2462	126	45	167	0	unclassified|73_73
63	124	1	20	56	5	50	71	6	2	58	5	2	6	0	0	0	0	20	0	40	50	124	0	2462	36	3	23	26	102	50	25	58	2	71	20	71	58	0	32	15	1	6	45	0	79	29	167	32	2	69	0	22	20	30	0	26	124	58	10	25	Propionibacterium|71_74
62	121	10	116	3	32	11	79	0	15	79	104	86	102	26	2	69	10	0	0	1	30	0	16	2	0	219	29	15	1	30	104	50	1	1	8	6	2	0	0	241	79	2	36	1	113	0	26	10	0	2	10	0	0	25	2	16	20	5	50	53	unclassified|100_75
65	1	2	11	0	25	10	12	56	5	21	15	0	0	1	39	116	102	1	19	0	11	30	51	8	123	12	25	6	203	3	58	2	45	86	123	0	241	104	1	0	23	2462	5	79	15	47	102	6	0	71	0	50	2462	3	102	2	50	39	124	40	unclassified|85_76
77	29	53	45	51	1	69	241	0	39	29	3	11	86	4	16	29	29	0	167	45	1	12	123	241	50	0	1	25	30	0	77	47	86	4	29	0	53	56	7	32	1	194	7	50	77	12	1	45	0	5	0	50	1	3	79	0	241	0	126	0	Alloprevotella|86_77
64	39	32	51	6	2	241	0	2	26	26	3	23	0	0	124	86	50	0	29	934	203	1	4	10	10	47	3	53	12	5	88	20	194	79	21	0	29	12	23	121	20	0	0	0	241	0	10	104	32	241	1	10	203	41	25	5	113	1	3	5	Varibaculum|99_78
6354	32	4	29	86	71	4	0	41	5	39	5	32	0	1	0	15	194	6	1	2	86	126	1	3	53	0	32	36	0	12	6	934	10	0	0	36	0	0	53	25	15	5	203	1	58	5	1	50	2	104	0	0	53	50	116	58	3	20	1	29	unclassified|89_79
70	7	0	58	8	0	0	23	88	41	4	36	0	2	86	2	8	36	39	10	47	79	5	20	11	23	43	0	1	79	0	26	0	0	30	19	60	23	25	104	36	0	167	0	3	0	167	16	1	30	77	241	0	21	934	5	3	19	29	10	2	Weissella|99_80
68	10	0	0	50	3	20	60	1	0	104	19	2	41	71	5	1	5	10	20	3	79	0	30	10	1	1	0	51	0	20	20	39	11	102	194	2	123	53	26	40	0	29	0	1	79	4	53	0	0	0	2	0	1	10	22	47	50	0	47	53	Veillonella|100_81
67	23	0	0	116	40	15	1	40	0	25	7	0	16	26	1	0	20	113	32	0	2	123	32	22	3	241	10	1	7	16	2462	0	0	58	79	56	8	3	5	203	6	88	50	2	30	51	6	25	219	0	0	3	41	0	20	0	21	6	69	45	Corynebacterium|80_82
4965	2	194	113	1	124	86	0	20	45	22	934	86	3	41	0	102	88	0	0	79	0	16	1	5	934	0	45	12	2	4	6	25	0	58	219	30	0	2	60	0	20	86	2	58	0	77	32	32	10	56	6	20	0	0	32	12	1	116	241	0	Finegoldia|92_83
66	32	102	50	22	5	2	6	53	69	41	41	1	79	124	1	5	32	5	2	10	58	40	0	36	71	123	102	6	0	50	47	29	1	7	0	15	29	1	5	86	12	22	88	3	29	79	53	12	19	8	16	1	71	60	19	32	30	0	58	2	unclassified|74_84
75	8	0	1	10	88	0	20	16	0	79	0	0	26	25	10	77	2	60	123	39	3	2	0	0	30	0	10	203	5	1	40	12	0	0	1	1	58	41	4	1	88	3	0	58	10	241	0	2	4	79	40	5	0	126	6	0	32	0	79	22	unclassified|93_85
6895	86	0	10	10	0	1	39	0	23	0	1	0	26	53	0	10	1	1	86	0	1	86	0	15	113	2	51	113	10	0	39	58	79	0	51	8	0	0	20	58	6	26	25	30	2	30	2462	51	41	86	79	60	11	29	20	1	0	53	5	1	Lactobacillus|76_86
6321	126	0	6	53	116	1	26	2	0	0	16	0	79	104	29	26	79	2	41	86	23	0	0	86	58	1	40	26	32	1	0	1	219	203	0	126	77	32	3	8	26	20	60	8	2	0	19	4	10	32	21	26	167	116	32	20	0	0	45	6	unclassified|99_87
71	194	19	0	58	11	1	12	79	934	86	1	15	0	1	1	0	3	40	2	1	40	69	126	0	25	102	2	86	2	22	0	124	1	0	41	79	0	1	10	124	0	2	16	0	43	0	86	241	12	1	36	40	934	1	124	69	3	1	0	0	Peptoniphilus|99_88
76	69	2462	69	121	2	39	0	167	0	50	0	6	29	2	0	0	5	47	3	219	53	1	50	29	79	0	86	58	2	43	0	86	10	23	26	0	7	0	36	1	41	15	15	241	126	20	123	88	25	2462	5	2	29	16	123	88	2462	203	32	1	Bacillus|93_89
78	6	50	53	5	10	0	203	20	0	45	32	69	0	20	58	79	219	88	30	194	12	116	45	0	0	203	43	12	29	121	116	2	113	36	5	10	50	0	0	21	2	116	0	124	53	41	12	7	77	2	79	0	0	50	7	8	88	2	0	0	Lactobacillus|98_90
1477	241	60	5	88	25	45	194	113	50	934	50	7	43	39	2	32	51	12	22	79	0	21	1	0	1	32	0	79	0	1	3	50	86	2	1	58	0	10	10	0	0	934	124	69	1	113	0	10	167	86	58	0	58	5	79	104	50	86	0	58	Veillonella|100_91
5872	26	1	1	194	5	47	3	26	53	0	2	56	0	0	26	0	60	41	47	32	60	22	53	1	29	121	2	2	25	0	0	10	0	51	69	0	41	20	58	2	51	10	79	36	10	123	26	934	934	0	102	58	50	0	3	0	2	2462	23	0	unclassified|91_92
4956	2	20	12	29	26	56	113	194	1	0	23	0	29	126	3	29	0	26	0	2462	7	0	1	0	2	0	5	1	50	0	16	32	3	40	23	2	51	5	6	1	0	19	0	102	2	5	21	0	124	0	2	203	0	4	2	5	56	12	1	0	unclassified|77_93
7143	3	50	2	0	0	104	0	0	8	2	30	26	126	2	79	41	58	30	126	2	50	0	29	113	5	0	0	104	4	7	194	2	2	0	1	1	50	69	0	123	53	10	10	2	56	16	29	86	12	16	203	7	16	0	41	71	5	50	41	0	Pasteurella|84_94
109	0	6	2	86	69	36	41	5	32	30	2	4	20	2	36	167	12	69	25	5	86	36	86	2	241	86	1	20	56	2	0	69	56	0	56	2462	104	58	2462	0	0	50	69	20	50	60	0	2	79	0	56	43	79	1	194	53	0	86	0	167	Aneurinibacillus|99_95
